Data negócio;Código IF;Instrumento financeiro;Código ISIN;Emissor;Data liquidação;Quantidade negociada;Preço mínimo;Preço médio;Preço máximo;Último preço;Preço de referência;Número de negócios;Volume financeiro (R$);Classificação do negócio;Oscilação
13/08/2026;LFSC26004BL;LFSC;BRITUBLFI282;ITAU UNIBANCO HOLDING S.A;13/08/2026;41;311425,496786;311779,87391502;311913,78584;311425,496786;311779,87391502;3;12782971;EXTRAGRUPO;0,05
13/08/2026;LF002600LLD;LF;BRMCSFLFI1F1;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;13/08/2026;26;50461,401836;50462,15877934;50462,9157;50462,9157;50462,15877935;4;1312016,11;INTRAGRUPO;-
13/08/2026;LF002100ELL;LF;-;BANCO SAFRA S/A;13/08/2026;1;82372,76;82372,76;82372,76;82372,76;82372,76;1;82372,76;INTRAGRUPO;-
13/08/2026;LF0025001UP;LF;BRAGBKLFI1Z1;BANCO AGIBANK S/A;13/08/2026;84;63458,331416;63459,28331927;63460,235194;63458,331416;63459,28331927;4;5330579,78;INTRAGRUPO;-
13/08/2026;LF002400V8K;LF;-;ITAU UNIBANCO S.A.;13/08/2026;64;63313,21817;63313,21817;63313,21817;63313,21817;63313,21817;4;4052045,94;INTRAGRUPO;-
13/08/2026;LF0021003VC;LF;-;BANCO SAFRA S/A;13/08/2026;1;83718,85;83718,85;83718,85;83718,85;83718,85;1;83718,85;INTRAGRUPO;-
13/08/2026;LFSC2500BF5;LFSC;BRBCXPLFIQR4;BANCO XP S/A;13/08/2026;61;317981,121247;318125,69296264;318226,05688;318226,05688;318118,63617946;6;19405665,37;EXTRAGRUPO;0,02
13/08/2026;LFSC25002S2;LFSC;BRITUBLFI209;ITAU UNIBANCO HOLDING S.A;13/08/2026;32;324699,395755;324841,85779995;324881,724786;324881,724786;324841,85779995;4;10394938,88;EXTRAGRUPO;-
13/08/2026;LF002400OQG;LF;-;ITAU UNIBANCO S.A.;13/08/2026;42;66127,14452;66127,14452;66127,14452;66127,14452;66127,14452;2;2777340,06;INTRAGRUPO;-
13/08/2026;LF00210044H;LF;-;BANCO SAFRA S/A;13/08/2026;3;83493,15;83493,15;83493,15;83493,15;83493,15;1;250479,45;INTRAGRUPO;-
13/08/2026;LFSC24007ER;LFSC;BRITUBLFI1Y9;ITAU UNIBANCO HOLDING S.A;13/08/2026;2;336911,757228;336916,81105582;336921,864732;336921,864732;336916,8110558;2;673833,61;INTRAGRUPO;0,06
13/08/2026;LFSC22002DG;LFSC;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;13/08/2026;12;349519,832436;349525,07539063;349530,318188;349519,832436;349525,07539063;2;4194300,89;INTRAGRUPO;-
13/08/2026;LF002500APP;LF;-;ITAU UNIBANCO S.A.;13/08/2026;46;71961,85253;71961,85253;71961,85253;71961,85253;71961,85253;2;3310245,2;INTRAGRUPO;-
13/08/2026;LF002600ENT;LF;BRBPSALFI0F6;STELLANTIS FINANCIAMENTOS SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO S.A.;13/08/2026;10;51872,960485;51872,960485;51872,960485;51982,65790489;51927,86712863;1;518729,6;EXTRAGRUPO;-
13/08/2026;LF002600LL7;LF;BRMCSFLFI1E4;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;13/08/2026;226;50458,690254;50459,44715735;50460,204038;50460,204038;50459,44715735;2;11403835,04;EXTRAGRUPO;-
13/08/2026;LF002500B9N;LF;-;ITAU UNIBANCO S.A.;13/08/2026;44;139467,8866;139467,8866;139467,8866;139467,8866;139467,8866;2;6136587;INTRAGRUPO;-
13/08/2026;LF0024008K8;LF;BRPTSGLFI2S9;PORTOSEG S.A. CREDITO FINANCIAMENTO E INVESTIMENTO;13/08/2026;42;68636,844992;68637,35977586;68637,874552;68637,874552;68637,35977586;8;2882769,05;INTRAGRUPO;-
13/08/2026;LFSC23006T4;LFSC;BRITUBLFI1R3;ITAU UNIBANCO HOLDING S.A;13/08/2026;56;403675,871111;403681,92643082;403687,981569;403675,871111;403681,92643082;2;22606187,87;INTRAGRUPO;-
13/08/2026;LFSC250099E;LFSC;BRITUBLFI241;ITAU UNIBANCO HOLDING S.A;13/08/2026;20;344106,537558;344111,69931042;344116,860908;344116,860908;344111,69931042;4;6882233,96;INTRAGRUPO;-
