Instrumento financeiro;Emissor;Código IF;Quantidade negociada;Preço negócio;Volume financeiro (R$);Taxa negócio;Origem negócio;Horário negócio;Data negócio;Cód. identificador do negócio;Código ISIN;Data liquidação;Situação negócio
LF;BANCO STELLANTIS S.A.;LF002400V0Z;1;63577,91811;63577,92;-;Registro;16:10:09;13/08/2026;#2026081347370956;BRBFIALFI697;13/08/2026;Confirmado
LF;STELLANTIS FINANCIAMENTOS SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO S.A.;LF002600ENT;10;51982,6579;519826,58;-;Registro;11:56:14;13/08/2026;#2026081346323923;BRBPSALFI0F6;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002600LL7;1;50460,20404;50460,2;-;Registro;10:05:40;13/08/2026;#2026081345567580;BRMCSFLFI1E4;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002DA;4;349311,8112;1397247,24;-;Registro;14:47:58;13/08/2026;#2026081347021191;BRITUBLFI1J0;13/08/2026;Confirmado
LF;PORTOSEG S.A. CREDITO FINANCIAMENTO E INVESTIMENTO;LF0024008K8;10;68636,84499;686368,45;-;Registro;16:10:10;13/08/2026;#2026081347371132;BRPTSGLFI2S9;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400U9T;21;63447,72671;1332402,26;-;Registro;18:44:37;13/08/2026;#2026081347960539;-;13/08/2026;Confirmado
LF;BCO VOLKSWAGEN S/A;LF002500Q2X;363;55058,38734;19986194,6;-;Registro;16:58:32;13/08/2026;#2026081347578734;BRBVKWLFID56;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002500B9N;22;139467,8866;3068293,51;-;Registro;18:44:37;13/08/2026;#2026081347960561;-;13/08/2026;Confirmado
LF;BANCO SAFRA S/A;LF002100CLI;1;83589,48;83589,48;-;Registro;18:35:58;13/08/2026;#2026081347932195;-;13/08/2026;Confirmado
LF;PORTOSEG S.A. CREDITO FINANCIAMENTO E INVESTIMENTO;LF0024008K8;6;68636,84499;411821,07;-;Registro;16:10:09;13/08/2026;#2026081347371057;BRPTSGLFI2S9;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400JOC;1;65318,70636;65318,71;-;Registro;18:44:36;13/08/2026;#2026081347960527;-;13/08/2026;Confirmado
LF;PORTOSEG S.A. CREDITO FINANCIAMENTO E INVESTIMENTO;LF0024008K8;10;68637,87455;686378,75;-;Registro;16:10:10;13/08/2026;#2026081347371136;BRPTSGLFI2S9;13/08/2026;Confirmado
LF;BANCO GM S.A;LF002500DY7;46;59473,19749;2735767,08;-;Registro;17:11:22;13/08/2026;#2026081347622187;BRBCGMLFI9W7;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002400OR0;70;64698,2765;4528879,36;-;Registro;15:19:14;13/08/2026;#2026081347145101;BRMCSFLFI0V0;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400JOC;1;65318,70636;65318,71;-;Registro;18:44:36;13/08/2026;#2026081347960521;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002D3;3;349519,8324;1048559,5;-;Registro;15:48:32;13/08/2026;#2026081347294106;BRITUBLFI1J0;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002600LLD;55;50462,9157;2775460,36;-;Registro;10:05:39;13/08/2026;#2026081345567548;BRMCSFLFI1F1;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25009EX;1;343767,5679;343767,57;-;Registro;10:05:35;13/08/2026;#2026081345566875;BRITUBLFI258;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400U9T;21;63447,72671;1332402,26;-;Registro;18:44:37;13/08/2026;#2026081347960544;-;13/08/2026;Confirmado
LF;BANCO DAYCOVAL S/A;LF002600LTF;9;50413,25207;453719,27;-;Registro;12:03:18;13/08/2026;#2026081346354076;BRDAYCLTFCI6;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400V8K;15;63313,21817;949698,27;-;Registro;18:44:37;13/08/2026;#2026081347960542;-;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400GVT;1;65870,34985;65870,35;-;Registro;18:44:36;13/08/2026;#2026081347960518;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002DM;1;349519,8324;349519,83;-;Registro;15:48:31;13/08/2026;#2026081347294087;BRITUBLFI1J0;13/08/2026;Confirmado
LF;BANCO STELLANTIS S.A.;LF002400V0Z;82;63575,72224;5213209,22;-;Registro;14:56:26;13/08/2026;#2026081347055820;BRBFIALFI697;13/08/2026;Confirmado
LF;BANCO AGIBANK S/A;LF0025001UP;41;63458,33142;2601791,59;-;Registro;10:05:40;13/08/2026;#2026081345567566;BRAGBKLFI1Z1;13/08/2026;Confirmado
LF;BANCO STELLANTIS S.A.;LF002400V0Z;326;63578,99385;20726752;-;Registro;13:39:40;13/08/2026;#2026081346804012;BRBFIALFI697;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400GVT;1;65870,34985;65870,35;-;Registro;18:44:36;13/08/2026;#2026081347960517;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC26004BL;7;310000;2170000;-;Registro;13:15:49;13/08/2026;#2026081346731247;BRITUBLFI282;13/08/2026;Cancelado
LF;STELLANTIS FINANCIAMENTOS SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO S.A.;LF002600ENT;10;51872,96049;518729,6;-;Registro;11:11:46;13/08/2026;#2026081346012578;BRBPSALFI0F6;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002D6;1;349530,3182;349530,32;-;Registro;15:48:27;13/08/2026;#2026081347293861;BRITUBLFI1J0;13/08/2026;Confirmado
LF;BCO VOTORANTIM S/A;LF0021007RJ;3;85006,32122;255018,96;-;Registro;13:36:12;13/08/2026;#2026081346794922;BRBEVELFNF24;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC24007ER;10;336921,8647;3369218,65;-;Registro;10:05:34;13/08/2026;#2026081345566816;BRITUBLFI1Y9;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002600LL7;24;50460,20404;1211044,9;-;Registro;10:05:41;13/08/2026;#2026081345567657;BRMCSFLFI1E4;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF0024013YO;3;62453,2369;187359,71;-;Registro;18:44:37;13/08/2026;#2026081347960549;-;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002400OR0;40;64696,89317;2587875,73;-;Registro;12:43:11;13/08/2026;#2026081346521561;BRMCSFLFI0V0;13/08/2026;Confirmado
LF;BANCO SAFRA S/A;LF00210044H;3;83493,15;250479,45;-;Registro;18:35:58;13/08/2026;#2026081347932194;-;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400Q6S;8;64123,49777;512987,98;-;Registro;18:44:37;13/08/2026;#2026081347960538;-;13/08/2026;Confirmado
LF;STELLANTIS FINANCIAMENTOS SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO S.A.;LF002600ENT;1;1;1;-;Registro;15:49:17;13/08/2026;#2026081347297183;BRBPSALFI0F6;13/08/2026;Cancelado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC250099E;4;344106,5376;1376426,15;-;Registro;10:05:35;13/08/2026;#2026081345567014;BRITUBLFI241;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002D5;1;349530,3182;349530,32;-;Registro;15:48:26;13/08/2026;#2026081347293795;BRITUBLFI1J0;13/08/2026;Confirmado
LF;BANCO STELLANTIS S.A.;LF002400V0Z;1;63578,87178;63578,87;-;Registro;16:10:08;13/08/2026;#2026081347370946;BRBFIALFI697;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400MQ4;20;64797,62736;1295952,55;-;Registro;18:44:36;13/08/2026;#2026081347960529;-;13/08/2026;Confirmado
LFSC;BANCO XP S/A;LFSC2500BF5;6;318226,0569;1909356,34;-;Registro;13:45:56;13/08/2026;#2026081346823191;BRBCXPLFIQR4;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002400OR0;1;64695,62867;64695,63;-;Registro;16:10:10;13/08/2026;#2026081347371171;BRMCSFLFI0V0;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002500APP;23;71961,85253;1655122,61;-;Registro;18:44:37;13/08/2026;#2026081347960554;-;13/08/2026;Confirmado
LF;NU FINANCEIRA SA SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO;LF002600HFX;348;51281,33126;17845903,28;-;Registro;17:11:21;13/08/2026;#2026081347622056;BRNUFNLFI7O2;13/08/2026;Confirmado
LFSN;BANCO DO ESTADO DO RIO GRANDE DO SUL S/A;LFSN250093T;1;417541,0103;417541,01;-;Registro;12:12:36;13/08/2026;#2026081346396913;BRBRSRLFI414;13/08/2026;Confirmado
LF;PORTOSEG S.A. CREDITO FINANCIAMENTO E INVESTIMENTO;LF0024008K8;3;68636,84499;205910,53;-;Registro;16:10:10;13/08/2026;#2026081347371222;BRPTSGLFI2S9;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25002MT;9;324881,7248;2923935,52;-;Registro;14:29:02;13/08/2026;#2026081346957664;BRITUBLFI1Z6;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25002MT;11;324699,3958;3571693,35;-;Registro;14:22:10;13/08/2026;#2026081346935463;BRITUBLFI1Z6;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC24007ER;1;336911,7572;336911,76;-;Registro;10:05:35;13/08/2026;#2026081345566931;BRITUBLFI1Y9;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002500AZU;9;60022,50116;540202,51;-;Registro;18:44:37;13/08/2026;#2026081347960559;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25009EX;1;343777,881;343777,88;-;Registro;10:05:35;13/08/2026;#2026081345566971;BRITUBLFI258;13/08/2026;Confirmado
LF;BANCO C6 S.A.;LF0026004E3;6;53830,34233;322982,05;-;Registro;17:11:21;13/08/2026;#2026081347622047;BRBCOCLFI4N9;13/08/2026;Confirmado
LF;BCO VOTORANTIM S/A;LF0021007RJ;4;85265,62376;341062,5;-;Registro;14:46:08;13/08/2026;#2026081347009117;BRBEVELFNF24;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC24004NX;5;335236,1747;1676180,87;-;Registro;11:51:13;13/08/2026;#2026081346305986;BRITUBLFI1X1;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF0024013YO;3;62453,2369;187359,71;-;Registro;18:44:37;13/08/2026;#2026081347960550;-;13/08/2026;Confirmado
LF;PORTOSEG S.A. CREDITO FINANCIAMENTO E INVESTIMENTO;LF0024008K8;3;68637,87455;205913,62;-;Registro;16:10:10;13/08/2026;#2026081347371208;BRPTSGLFI2S9;13/08/2026;Confirmado
LFSN;BANCO DO ESTADO DO RIO GRANDE DO SUL S/A;LFSN250093T;1;417214,3455;417214,35;-;Registro;11:46:06;13/08/2026;#2026081346282132;BRBRSRLFI414;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC23006TE;10;403687,9816;4036879,82;-;Registro;15:48:27;13/08/2026;#2026081347293858;BRITUBLFI1R3;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002500BXS;10;60756,02431;607560,24;-;Registro;18:44:37;13/08/2026;#2026081347960562;-;13/08/2026;Cancelado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25009EX;5;344205,6808;1721028,4;-;Registro;16:10:08;13/08/2026;#2026081347370862;BRITUBLFI258;13/08/2026;Confirmado
LFSC;BANCO XP S/A;LFSC2500BF5;1;318226,0569;318226,06;-;Registro;14:24:00;13/08/2026;#2026081346941464;BRBCXPLFIQR4;13/08/2026;Confirmado
LFSC;BANCO XP S/A;LFSC2500BF5;20;318226,0569;6364521,14;-;Registro;13:45:56;13/08/2026;#2026081346823193;BRBCXPLFIQR4;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002600LLD;1;50461,40184;50461,4;-;Registro;10:05:41;13/08/2026;#2026081345567652;BRMCSFLFI1F1;13/08/2026;Confirmado
LF;BANCO BRADESCO S/A;LF002500FI9;1;51080,92324;51080,92;-;Registro;11:06:06;13/08/2026;#2026081345954921;BRBBDCLFCCE7;13/08/2026;Confirmado
LF;BANCO AGIBANK S/A;LF0025001UP;1;63458,33142;63458,33;-;Registro;10:05:39;13/08/2026;#2026081345567497;BRAGBKLFI1Z1;13/08/2026;Confirmado
LF;BANCO STELLANTIS S.A.;LF002400V0Z;33;63575,72224;2097998,83;-;Registro;14:21:44;13/08/2026;#2026081346933303;BRBFIALFI697;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002500BXS;10;60756,02431;607560,24;-;Registro;18:44:37;13/08/2026;#2026081347960565;-;13/08/2026;Confirmado
LF;BANCO AGIBANK S/A;LF0025001UP;41;63460,23519;2601869,64;-;Registro;10:05:39;13/08/2026;#2026081345567500;BRAGBKLFI1Z1;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002D3;3;349530,3182;1048590,95;-;Registro;15:48:26;13/08/2026;#2026081347293744;BRITUBLFI1J0;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400OQG;21;66127,14452;1388670,03;-;Registro;18:44:36;13/08/2026;#2026081347960534;-;13/08/2026;Confirmado
LFSC;BANCO XP S/A;LFSC2500BF5;30;318030,0855;9540902,57;-;Registro;13:05:27;13/08/2026;#2026081346629021;BRBCXPLFIQR4;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400Q6S;8;64123,49777;512987,98;-;Registro;18:44:37;13/08/2026;#2026081347960540;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002DG;6;349519,8324;2097118,99;-;Registro;15:48:32;13/08/2026;#2026081347294104;BRITUBLFI1J0;13/08/2026;Confirmado
LF;BANCO STELLANTIS S.A.;LF002400V0Z;163;63575,72224;10362842,72;-;Registro;14:38:01;13/08/2026;#2026081346978045;BRBFIALFI697;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002D5;1;349519,8324;349519,83;-;Registro;15:48:32;13/08/2026;#2026081347294096;BRITUBLFI1J0;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002600LL7;1;50458,69025;50458,69;-;Registro;10:05:40;13/08/2026;#2026081345567609;BRMCSFLFI1E4;13/08/2026;Confirmado
LF;BANCO STELLANTIS S.A.;LF002400V0Z;21;63575,72224;1335090,17;-;Registro;14:38:01;13/08/2026;#2026081346978043;BRBFIALFI697;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002DL;10;349530,3182;3495303,18;-;Registro;15:48:20;13/08/2026;#2026081347293212;BRITUBLFI1J0;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400V8K;15;63313,21817;949698,27;-;Registro;18:44:37;13/08/2026;#2026081347960541;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC24004NX;5;335403,8914;1677019,46;-;Registro;12:29:08;13/08/2026;#2026081346462659;BRITUBLFI1X1;13/08/2026;Confirmado
LF;BANCO BRADESCO S/A;LF002500FI9;10;50777,22982;507772,3;-;Registro;12:06:23;13/08/2026;#2026081346365442;BRBBDCLFCCE7;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400I7D;18;65607,08406;1180927,51;-;Registro;18:44:36;13/08/2026;#2026081347960526;-;13/08/2026;Confirmado
LF;PORTOSEG S.A. CREDITO FINANCIAMENTO E INVESTIMENTO;LF0024008K8;6;68637,87455;411827,25;-;Registro;16:10:09;13/08/2026;#2026081347371033;BRPTSGLFI2S9;13/08/2026;Confirmado
