Instrumento financeiro;Emissor;Código IF;Quantidade negociada;Preço negócio;Volume financeiro (R$);Taxa negócio;Origem negócio;Horário negócio;Data negócio;Cód. identificador do negócio;Código ISIN;Data liquidação;Situação negócio
LF;BANCO RCI BRASIL S.A.;LF002500B74;15;60722,40748;910836,11;-;Registro;16:10:10;13/08/2026;#2026081347371176;BRCAMRLFI3G1;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002D7;1;349519,8324;349519,83;-;Registro;15:48:27;13/08/2026;#2026081347293966;BRITUBLFI1J0;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF0024013YO;20;62453,23732;1249064,75;-;Registro;18:44:37;13/08/2026;#2026081347960547;-;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002400OR0;8;64696,59911;517572,79;-;Registro;16:10:10;13/08/2026;#2026081347371125;BRMCSFLFI0V0;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25009EX;13;343767,5679;4468978,38;-;Registro;10:05:35;13/08/2026;#2026081345566867;BRITUBLFI258;13/08/2026;Confirmado
LF;BANCO DAYCOVAL S/A;LF002500EU2;31;58709,7507;1820002,27;-;Registro;14:37:27;13/08/2026;#2026081346976991;BRDAYCLTF736;13/08/2026;Confirmado
LF;BANCO DAYCOVAL S/A;LF002500EU2;31;58714,93359;1820162,94;-;Registro;15:37:54;13/08/2026;#2026081347205208;BRDAYCLTF736;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC2500672;4;309521,1186;1238084,47;-;Registro;16:10:08;13/08/2026;#2026081347370864;BRITUBLFI233;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002600LL7;113;50460,20404;5702003,06;-;Registro;10:05:40;13/08/2026;#2026081345567563;BRMCSFLFI1E4;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400OI1;7;64461,15784;451228,1;-;Registro;18:44:36;13/08/2026;#2026081347960531;-;13/08/2026;Confirmado
LF;BCO VOLKSWAGEN S/A;LF002500Q2X;363;55058,38734;19986194,6;-;Registro;17:11:21;13/08/2026;#2026081347622061;BRBVKWLFID56;13/08/2026;Confirmado
